,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
63-23-3,63,23,3,"The capital city of Chile, the home stadium of Newcastle United F.C., the brewery that produces Guinness beer, and the current home of Side Show on Broadway are all named after an individual best known as what in English?",ST. JAMES,GEOGRAPHY,90,82,70,57,31,49,57,4.2,127.0
63-23-4,63,23,4,"Among the four major North American professional sports leagues, baseball slugger Barry Bonds has won the second-most Most Valuable Player awards, with seven. Who has the most, with nine?",WAYNE GRETZKY,GAMES/SPORT,80,71,59,57,44,53,57,4.2,146.0
63-23-5,63,23,5,"What is the most common name for the notably soft mineral hydrous magnesium silicate, Mg3Si4O10(OH)2?",TALC,SCIENCE,76,64,47,40,23,38,42,4.2,170.0
63-23-6,63,23,6,Name the actress in this photograph. Click here,ROSALIND RUSSELL,FILM,44,31,23,17,10,17,20,4.2,170.0
63-24-1,63,24,1,"Typically, acne is caused by blockage and inflammation of what skin glands, due to the overproduction of the glands' oily secretion (from which the gland takes its name)?",SEBACEOUS GLANDS,SCIENCE,80,74,65,56,37,56,57,4.3,1.3
63-24-2,63,24,2,"With the help of his sister Estelle Axton, Tennessee businessman Jim Stewart founded the seminal record label Satellite Records in 1957 and—after the discovery of another California-based Satellite Records—changed its name in 1961 to what new name, which it retained through its 1977 bankruptcy?",STAX RECORDS,POP MUSIC,52,34,33,22,11,21,25,4.3,1.9
63-24-3,63,24,3,"This English navigator sailed with Captain James Cook on explorations of Australia, New Zealand, and the Hawaiian Islands, but he is best remembered today for his extensive and precise survey work on the Pacific coast of northern North America, where numerous locations have been named in his honor (including a major city in the region). Name the man.",GEORGE VANCOUVER,GEOGRAPHY,86,72,71,58,36,53,57,4.3,1.4
63-24-4,63,24,4,"Whereas most leavened bread is yeast risen, the type of bread that instead uses NaHCO3 as a leavening agent is best known generally as what? Specific examples include Scottish bannocks, Australian damper, and a popular Irish namesake variety.",SODA BREAD,FOOD/DRINK,87,81,83,79,68,73,76,4.3,0.8
63-24-5,63,24,5,"Name the successful and enduring 1959 play, the first written by an African American woman to be produced on Broadway, whose title comes from the 1951 Langston Hughes poem ""Harlem"".",A RAISIN IN THE SUN,THEATRE,93,81,74,63,46,60,64,4.3,1.3
63-24-6,63,24,6,"What American organization holds membership in the international federation that also includes Israel's Magen David Adom, Turkey's Türk Kızılayı, and Saudi Arabia's SRCA?",AMERICAN RED CROSS,LIFESTYLE,69,54,43,33,20,38,38,4.3,1.9
63-25-1,63,25,1,The Hindu concept of Trimurti manifests the cosmic functions of the Supreme Being as represented by three forms. Identify any two of the three most common personifications of these functions.,"BRAHMA, VISHNU, SHIVA",LIFESTYLE,79,75,58,44,29,50,50,5.0,1.2
63-25-2,63,25,2,"In the law of physics most commonly expressed as PV = nRT, the constant ""R"" is most often referred to as the ""______ constant."" (Fill in the blank.)",GAS,SCIENCE,53,44,32,27,18,30,31,5.0,1.4
63-25-3,63,25,3,"In his 21-year baseball career, which ended in 2001, this Hall of Fame shortstop won the American League's Most Valuable Player Award twice, in 1983 and 1991. Name the player.","CAL RIPKEN, JR.",GAMES/SPORT,83,68,66,60,49,55,60,5.0,1.3
63-25-4,63,25,4,"In modern digital photo cameras, the index rating for sensitivity to light (exposure index) is normally designated by a three-letter acronym. What is that acronym?",ISO,ART,52,41,37,32,29,38,36,5.0,1.2
63-25-5,63,25,5,"Parkside, Platteville, River Falls, Stevens Point, Stout, and Whitewater are all campuses of four-year schools in what state's public university system?",WISCONSIN,GEOGRAPHY,78,61,43,44,31,45,46,5.0,1.3
63-25-6,63,25,6,This excerpt is from the fourth and final symphony of what composer? (49 seconds) Click here,JOHANNES BRAHMS,CLASS MUSIC,42,29,19,17,10,20,20,5.0,2.2
64-1-1,64,1,1,"Marion Ravenwood, a one-time barkeep in remote Nepal with a sarcastic wit and a very high tolerance for alcohol, is the sometimes girlfriend of what famous film character?",INDIANA JONES,FILM,95,86,85,82,68,77,80,4.2,0.7
64-1-2,64,1,2,The 24th and final Book of Homer's Iliad ends with the funeral of what Trojan hero?,HECTOR,LITERATURE,71,55,48,36,21,30,38,4.2,1.3
64-1-3,64,1,3,"This cropped photograph, along with the redacted inset photo, appeared on a hit record album released in January of 1971. Name the two-year-old child in these photos, who is the thirty-five-year-old artist on the record. Click here",ELVIS PRESLEY,POP MUSIC,46,29,23,19,9,16,20,4.2,2.0
64-1-4,64,1,4,"What unit of measurement is defined as the force needed to move a 1 kg object so that it accelerates at 1 m/s2? It is also used as a measure of weight, where one unit is the weight of a medium-sized apple, roughly.",NEWTON,SCIENCE,91,81,80,67,59,67,70,4.2,1.3
64-1-5,64,1,5,"Of the items that shaped the legacy of British conservative politician Benjamin Disraeli, among the most prominent was his bitter, decades-long rivalry with what Liberal leader, who himself served four times as Prime Minister?",WILLIAM GLADSTONE,WORLD HIST,74,57,48,28,10,28,34,4.2,1.7
64-1-6,64,1,6,"The culinary preparation known as duxelles (used in various dishes served à la duxelles) typically consists of chopped shallots, onions, and herbs, with what other main ingredient, all sautéed in butter?",MUSHROOMS,FOOD/DRINK,79,65,59,44,38,40,49,4.2,1.6
64-2-1,64,2,1,"Pictured here is an assortment of real-life items which relate to the standard version of a particular board game, with one item missing. What is the missing item? Click here",ROPE,GAMES/SPORT,96,95,92,90,86,85,89,3.3,0.5
64-2-2,64,2,2,"Episode plots in what acclaimed, technology-savvy CBS drama series have involved the internet search company ""Chumhum"", the social and news website ""Scabbit"", legal issues surrounding the invention of Bitcoin, and a ransomware attack?",THE GOOD WIFE,TELEVISION,52,34,30,22,19,20,26,3.3,1.1
64-2-3,64,2,3,"Name the man who seized control of the Pakistan government via a military coup d'état in October of 1999, and served as the country's President from 2001 until his resignation under threat of impeachment in August, 2008.",PERVEZ MUSHARRAF,WORLD HIST,86,75,70,57,36,52,57,3.3,1.5
64-2-4,64,2,4,"A controversial and massive work of post-minimalist public art titled Tilted Arc, which was erected in Manhattan's Federal Plaza in 1981 and removed in 1989 after years of debate and legal action, was conceived by what American sculptor?",RICHARD SERRA,ART,30,19,18,11,6,10,13,3.3,2.2
64-2-5,64,2,5,"There are exactly two elements represented in the periodic table by single letters whose standard names (in English) do not begin with those letters. What are those elements' names? (As a counterexample, Oxygen begins with its symbol, O.)","POTASSIUM, TUNGSTEN",SCIENCE,88,76,64,52,34,44,53,3.3,1.5
64-2-6,64,2,6,"The principality of Monaco is traditionally divided into four Quartiers: Monaco-Ville, La Condamine, Fontvielle, and what fourth?",MONTE CARLO,GEOGRAPHY,86,71,66,47,28,38,49,3.3,1.8
64-3-1,64,3,1,"In 2011, a low-calorie (specifically, a TEN-calorie) variety of what popular soft drink was released in the United States, with a marketing message aimed at men—most directly in its tagline, ""It's Not for Women.""?",DR PEPPER,FOOD/DRINK,79,67,71,64,56,62,64,3.5,0.7
64-3-2,64,3,2,"Name the only man who was elected governor of two different U.S. states, as well as the only man to be twice-elected President of the Republic of Texas.",SAM HOUSTON,AMER HIST,88,76,78,67,44,58,63,3.5,1.4
64-3-3,64,3,3,Who played the title character in the critically acclaimed 1971 film thriller Klute?,DONALD SUTHERLAND,FILM,42,26,25,16,9,14,18,3.5,1.7
64-3-4,64,3,4,"Eldest, Brisingr, and Inheritance are the second-through-fourth books in author Christopher Paolini's Inheritance Cycle tetralogy. What is the name of the first novel in the series?",ERAGON,LITERATURE,58,43,38,29,20,29,32,3.5,1.9
64-3-5,64,3,5,"In May of 1796, pioneering English physician Edward Jenner inoculated his gardener's young son with pus from a milkmaid's blister, thereby rendering him immune to what infectious disease?",SMALLPOX,SCIENCE,97,93,88,80,58,72,77,3.5,1.1
64-3-6,64,3,6,"The Manzanares River, pictured here, passes through what national capital city? Click here",MADRID,GEOGRAPHY,66,43,39,22,14,22,29,3.5,1.9
64-4-1,64,4,1,"The name of the Rastafari movement is taken from Ras Tafari Makonnen, the personal pre-coronation name of the African emperor who was later (and better) known as what?",HAILE SELASSIE,WORLD HIST,90,84,78,61,32,50,59,4.2,1.4
64-4-2,64,4,2,"A Yiddish word for ""stuffed"" is applied commonly (and nearly exclusively) to a particular classic Jewish dish, suitable for serving during the Sabbath (when cooking is not permitted). What is that word?",GEFILTE,FOOD/DRINK,54,39,36,27,19,26,30,4.2,1.3
64-4-3,64,4,3,"A special type of quadrilateral defined as having two pairs of sides, with each pair made up of adjacent sides that equal in length, is sometimes referred to as a deltoid, but is better known in geometry as, appropriately, a what?",KITE,MATH,58,47,38,26,15,23,29,4.2,1.0
64-4-4,64,4,4,What last name do these brothers share? Click here,KOCH,BUS/ECON,89,78,82,79,66,73,75,4.2,1.1
64-4-5,64,4,5,"Manitoulin Island, the world's largest ""freshwater island"", sits within Georgian Bay, an inlet which protrudes from what lake?",LAKE HURON,GEOGRAPHY,58,42,35,21,12,17,25,4.2,1.7
64-4-6,64,4,6,"Following the 1978 implosion of the Sex Pistols, master media manipulator Malcolm McLaren collected three members of Adam and the Ants (basically, the Ants) and a fourteen-year-old part-time laundress and Burmese immigrant to form what new band, which was perhaps only slightly less controversial than the Pistols?",BOW WOW WOW,POP MUSIC,52,29,26,17,8,13,19,4.2,2.0
64-5-1,64,5,1,"OPI, Seche, Sally Hansen, Deborah Lippman, and CND are all fashion brands most associated with what product?",NAIL POLISH,LIFESTYLE,64,49,45,40,41,44,45,3.0,1.5
64-5-2,64,5,2,"The war which resulted in the U.S. acquiring some 500,000 square miles of new territory is widely regarded as the first U.S. war to be photographed, the first covered by newspaper correspondents, and the first fought primarily on foreign soil. In what country was this war fought?",MEXICO,AMER HIST,82,78,75,66,60,66,68,3.0,1.0
64-5-3,64,5,3,"In June 2013, National Security Agency subcontractor Edward Snowden met with journalists Glenn Greenwald and Laura Poitras and revealed details of classified United States government surveillance programs. This meeting took place at the Mira Hotel in what city?",HONG KONG,CURR EVENTS,76,61,54,45,32,42,47,3.0,1.2
64-5-4,64,5,4,"A Los Angeles physician awakens, and turns to see a yellow Labrador retriever walking through a thicket of bamboo. So begins what television series?",LOST,TELEVISION,78,65,65,61,57,56,61,3.0,1.0
64-5-5,64,5,5,"Give the full name of the controversial soprano, often falsely reported at the time of her death in 2006 as the aunt of an American military general, who was renowned particularly for her lieder interpretations and signature portrayals of Richard Strauss and Mozart heroines.",ELISABETH SCHWARZKOPF,CLASS MUSIC,20,13,8,6,1,5,7,3.0,2.5
64-5-6,64,5,6,"In many computer operating systems, notably DOS and Unix, what is the four-letter command used to display a message (a string of text) on the terminal or output to a file? In many computer operating systems, notably DOS and Unix, what is the four-letter command used to display a message (a string of text) on the terminal or output to a file?",ECHO,SCIENCE,38,32,27,21,18,16,22,3.0,1.6
64-6-1,64,6,1,"The River Alma, Balaclava, and Inkerman were major battle sites of what 1850s war, which is also notable for the nursing of Florence Nightingale and the reporting of The Times correspondent William Howard Russell?",CRIMEAN WAR,WORLD HIST,98,95,92,76,44,65,72,3.0,1.1
64-6-2,64,6,2,"An independent travel booktore owner in central London, a child psychologist father-to-be, an ungentlemanly publishing company boss, and Prime Minister of the United Kingdom are among the prominent film roles portrayed by what actor?",HUGH GRANT,FILM,85,80,76,73,66,70,73,3.0,1.0
64-6-3,64,6,3,"Certain insects and other arthropods possess what are known as stridulatory organs, which are used specifically to produce what?",SOUND,SCIENCE,72,53,47,34,20,34,38,3.0,1.6
64-6-4,64,6,4,"In finance and financial analysis, what feline term is used colloquially to describe a small and temporary phase of recovery that occurs during a prolonged period of decline, after which is a quick and sustained continuation of the downward trend?",DEAD CAT BOUNCE,BUS/ECON,55,43,37,26,17,26,30,3.0,1.8
64-6-5,64,6,5,"Fulton J. Sheen, who was the only Emmy winner in the DuMont television network's ten years of existence, hosted for many years (on DuMont and elsewhere) the program Life is Worth Living. What was Sheen's primary occupation?",CATHOLIC PRIEST (BISHOP/ARCHBISHOP),TELEVISION,74,62,56,49,35,44,49,3.0,2.0
64-6-6,64,6,6,"Name the basketball Hall of Famer who won the Michigan High School Class A Boys Basketball Championship in 1977, the NCAA Men's Division I Basketball Championship in 1979, and his first NBA Finals in 1980.",MAGIC JOHNSON,GAMES/SPORT,85,69,63,57,49,53,59,3.0,1.3
64-7-1,64,7,1,"Of the two title characters in the sixth (and penultimate) book of the Harry Potter series, Harry Potter and the Half-Blood Prince, the second (after Harry himself) is better known throughout the series by what name?",SEVERUS SNAPE,LITERATURE,69,63,60,53,48,49,54,2.9,0.5
64-7-2,64,7,2,"Name the famous 1927 musical by Jerome Kern and Oscar Hammerstein II, regarded by some as the first successful, totally American operetta, which includes the classics ""Can't Help Lovin' Dat Man"", ""Make Believe"", ""Why Do I Love You"", and ""Ol' Man River"".",SHOW BOAT,THEATRE,85,72,64,48,31,42,50,2.9,1.7
64-7-3,64,7,3,What is the German translation of the French word montagne?,BERG,LANGUAGE,76,63,52,34,16,30,38,2.9,1.6
64-7-4,64,7,4,"What is the anatomical term for a muscle that bends a limb, working as an antagonist in opposition to extensors? Examples in the human body include the biceps, deltoid, and the sartorius?",FLEXOR,SCIENCE,84,72,70,61,49,58,62,2.9,1.5
64-7-5,64,7,5,"Of the twelve studio albums released by the rock band Van Halen, two of them, released consecutively in the mid-1980s, have titles which are four-digit numbers. Please give either of those two numbers.","1984, 5150",POP MUSIC,90,80,75,68,53,60,67,2.9,1.6
64-7-6,64,7,6,"___forum, ___Review, and ___news: these are all names of magazines which are missing the same first three letters—letters which spell the genre these magazines cover. What are the three missing letters?",ART,ART,52,42,39,37,26,36,36,2.9,1.8
64-8-1,64,8,1,"""Dear King Philip Came Over For Good Soup."" In this mnemonic, the word ""soup"" stands in for what other word?",SPECIES,SCIENCE,94,83,76,69,59,67,71,3.3,0.9
64-8-2,64,8,2,"The Radiant Child, a crawling baby in a halo of light, was the personal logo of what American artist?",KEITH HARING,ART,26,24,22,15,10,12,16,3.3,2.0
64-8-3,64,8,3,"Name the Academy Award-winning director who was screenwriter (but not director) of the films Midnight Express, Conan the Barbarian, Scarface, and Evita.",OLIVER STONE,FILM,69,43,38,24,12,23,29,3.3,1.3
64-8-4,64,8,4,"What expression, popular from the early days of WWII, is used to describe enemy sympathizers who may provide active assistance to invading forces? The term originates from the Spanish Civil War, when sympathizers supported a quartet of rebel battalions advancing on Madrid.",FIFTH COLUMN,WORLD HIST,73,59,50,31,11,29,35,3.3,1.4
64-8-5,64,8,5,Massachusetts-born 19th c. publisher Samuel French first achieved success publishing works of what literary form? The namesake company he founded in the 1850s continues to dominate the particular market to this day.,PLAYS,THEATRE,63,48,36,28,18,24,31,3.3,1.6
64-8-6,64,8,6,There are two rivers in Africa which each has two different countries named after it. Please name both rivers.,"CONGO, NIGER",GEOGRAPHY,84,73,74,60,44,55,60,3.3,1.4
64-9-1,64,9,1,"The 1,099-mile-long Baku-Tbilisi-Ceyhan pipeline transports crude oil originating from fields in what body of water?",CASPIAN SEA,GEOGRAPHY,79,65,64,43,26,44,47,4.0,1.3
64-9-2,64,9,2,What was private investigator and guesthouse-resident Thomas S. Magnum's favorite baseball team?,DETROIT TIGERS,TELEVISION,68,50,41,33,22,29,36,4.0,1.2
64-9-3,64,9,3,"Shortly after the conclusion of WWII hostilities in Europe in May of 1945, the #1 single on the Billboard ""Best Sellers in Stores"" chart was, fittingly, ""Sentimental Journey"", which became an unofficial homecoming theme for returning veterans. This original recording, backed by Les Brown and His Band of Renown, was the first #1 hit for what artist, who would soon become a major star of music and film in her own right?",DORIS DAY,POP MUSIC,64,45,34,30,13,26,30,4.0,2.0
64-9-4,64,9,4,"The paradoxically cordial-sounding Treaty of Friendship, Co-operation, and Mutual Assistance was formed in May of 1955 as the military complement to an economic organization formally named the Council for Mutual Economic Assistance. By what name is this treaty best known?",WARSAW PACT,WORLD HIST,82,65,63,42,22,39,45,4.0,1.3
64-9-5,64,9,5,The ultramafic igneous rock known as kimberlite is today the world's primary source of what mineral with important scientific and industrial applications?,DIAMOND,SCIENCE,67,46,40,23,12,26,30,4.0,1.6
64-9-6,64,9,6,"The Henry Wadsworth Longfellow poem which appeared in his 1863 Tales of a Wayside Inn collection as ""The Landlord's Tale"" describes legendary (and largely fictional) exploits of what American hero?",PAUL REVERE,LITERATURE,74,62,50,43,27,41,44,4.0,1.3
64-10-1,64,10,1,"Provide the name that completes this list: Elmer Layden, Bert Bell, Austin Gunsel, Pete Rozelle, Paul Tagliabue.",ROGER GOODELL,GAMES/SPORT,85,71,66,58,40,50,57,2.7,1.5
64-10-2,64,10,2,"What Asian municipality of roughly 250,000 people, planned by Edwin Lutyens and Herbert Baker and built from 1912 to 1929, was inaugurated in 1931 as capital, and remains its country's seat of government today?",NEW DELHI,GEOGRAPHY,66,42,35,23,7,21,26,2.7,1.9
64-10-3,64,10,3,"A one-act play by David Belasco and John Luther Long, which ran on Broadway for 24 performances in 1900, would likely be totally forgotten today had Giacomo Puccini not created an opera from it four years later—and had a smash Broadway musical adapted in part from the opera not been produced 85 years afterwards. What name do the original play and Puccini's opera share?",MADAME BUTTERFLY,THEATRE,60,47,40,29,17,29,32,2.7,1.8
64-10-4,64,10,4,"Rounded to the nearest thousand, what is the current level of the NASDAQ Composite index?",5000,BUS/ECON,59,50,39,34,26,36,37,2.7,1.7
64-10-5,64,10,5,"The plot of the original Star Wars film (Episode IV) involves plans to the Galactic Empire's Death Star being stolen by spies for the Rebel Alliance. Near the beginning of the film, these plans are hidden, by Alderaan Princess Leia Organa, where?",R2-D2,FILM,92,86,87,82,73,79,81,2.7,0.6
64-10-6,64,10,6,"Of the official cookie varieties offered for sale during fundraisers for the Girl Scouts of the USA, which is the only one to have the Girl Scouts logo embossed on the cookie's face?",TREFOILS/SHORTBREAD,FOOD/DRINK,83,67,68,63,54,56,62,2.7,1.4
64-11-1,64,11,1,"The popular card game Klondike, which uses a standard 52-card deck with no Jokers, is also known (and perhaps better known) by an alternate name that is actually the category of card game under which Klondike falls. What is that other name?",SOLITAIRE (PATIENCE),GAMES/SPORT,88,80,79,68,53,62,67,2.9,0.9
64-11-2,64,11,2,"Mick Jones, guitarist and founding member of the rock band Foreigner, is the (former) stepfather of what current chart-topping English musician and producer (as well as his twin sisters)?",MARK RONSON,POP MUSIC,49,34,33,21,12,21,24,2.9,1.8
64-11-3,64,11,3,"Following France's humiliating defeat at the hands of the North German Confederation (the soon-to-be German Empire) in 1871, a socialist revolutionary uprising gained rule in the nation's capital city via the election of a municipal council, which was hastily and very violently suppressed by the monarchist French government by May of that year. What is the common name given both to this council and the uprising itself?",PARIS COMMUNE,WORLD HIST,65,51,43,28,9,26,31,2.9,1.9
64-11-4,64,11,4,Treatment of animal fats or vegetable oils with sodium hydroxide or potassium hydroxide is the fundamental process used most often to create what?,SOAP,SCIENCE,80,74,63,55,42,54,57,2.9,1.3
64-11-5,64,11,5,The verb in the following sentence is in the present tense; please rewrite the sentence with the verb in the present perfect tense. I enjoy eating cheese.,I HAVE ENJOYED EATING CHEESE,LANGUAGE,77,61,55,40,27,38,44,2.9,1.2
64-11-6,64,11,6,"What is the term from mathematics for the fractional part of a common logarithm (i.e. the part after the decimal point)? It's also used more generally for the fractional part of any real number—for example, the .259 in 8.259.",MANTISSA,MATH,32,23,19,11,8,12,15,2.9,1.7
64-12-1,64,12,1,"Tomorrow, I'll think of some way to get him back. After all, tomorrow is another day. Thus ends what novel, in lines spoken by the story's vain, spoiled, shrewd, strong-willed, thrice-married heroine?",GONE WITH THE WIND,LITERATURE,90,79,76,64,47,57,64,2.9,1.1
64-12-2,64,12,2,"What term from music, derived from a Greek word for ""song"" or ""tune"", refers to a group of notes sung to a single syllable of text, normally including a primary note and ornamentation? Gregorian chants are an old example; more recent examples are basically anything by Whitney Houston or Mariah Carey.",MELISMA,CLASS MUSIC,43,34,30,15,7,14,19,2.9,2.2
64-12-3,64,12,3,"Name the hurler, the winner of the National League Cy Young Award after the 1969, 1973, and 1975 seasons, who is the only member of the Baseball Hall of Fame in Cooperstown, New York, whose plaque sports a New York Mets cap.",TOM SEAVER,GAMES/SPORT,72,59,49,42,29,37,43,2.9,1.7
64-12-4,64,12,4,"Name the actor who plays Senator Gil John Biggs in the TV series Alpha House, Congressman Scott Talley in the film The Campaign, Congressman Chuck Long in the film Evan Almighty, and Speaker of the House Glenallen Walken in the TV series The West Wing.",JOHN GOODMAN,TELEVISION,80,66,62,57,46,55,58,2.9,1.3
64-12-5,64,12,5,"""I do not believe that the president loves America. He doesn't love you. And he doesn't love me. He wasn't brought up the way you were brought up and I was brought up, through love of this country."" Who reportedly spoke these words, in reference to President Barack Obama, at a private group dinner featuring Wisconsin Gov. Scott Walker on February 18, 2015?",RUDOLPH GIULIANI,CURR EVENTS,88,81,77,68,56,65,69,2.9,0.9
64-12-6,64,12,6,"What name was shared by three English monarchs before the Norman Conquest (the Elder, the Martyr, and the Confessor) and by another eight English monarchs after the conquest?",EDWARD,WORLD HIST,92,84,83,62,39,54,62,2.9,1.4
64-13-1,64,13,1,"""Tropical,"" ""Wild Berry,"" ""Sour,"" ""Darkside,"" ""Desserts,"" and a 2014 limited-edition football-themed ""Seattle Mix"" are among the produced varieties of what confection brand?",SKITTLES,FOOD/DRINK,84,79,78,73,72,75,76,1.2,0.8
64-13-2,64,13,2,"The plot of what 1998 movie is driven in part by circumstances surrounding brothers named Daniel, Sean, Peter, and James, the last of whom is the only one still alive at the end of the film?",SAVING PRIVATE RYAN,FILM,80,68,58,51,39,49,53,1.2,1.2
64-13-3,64,13,3,"What is the standard term in ice hockey for the period of time when one team has more players on the ice than the other team, due to one or more penalties committed by the short-handed team?",POWER PLAY,GAMES/SPORT,93,86,85,80,77,80,82,1.2,0.9
64-13-4,64,13,4,"The influential 15th-century painter born Guido di Pietro took the name Giovanni upon entering the Dominican order in the city of Fiesole, near Florence, around 1418, but is best known by what posthumous nickname?",FRA ANGELICO,ART,50,28,23,13,5,13,17,1.2,2.3
64-13-5,64,13,5,"As measured by cargo throughput, the second- through fourth-largest shipping ports in Europe are in Antwerp, Hamburg, and Novorossiysk. Europe's largest, equivalent to the next three combined, is the port of what city?",ROTTERDAM,GEOGRAPHY,76,56,49,34,18,29,37,1.2,1.8
64-13-6,64,13,6,"Name the man who replaced Zhao Ziyang as general secretary of the Communist Party of China following the Tiananmen Square protests of 1989, serving in that post until 2002, while also serving as the nation's president from 1993 to 2003.",JIANG ZEMIN,WORLD HIST,46,29,25,19,11,18,21,1.2,1.9
64-14-1,64,14,1,"Though the term was originally associated with medieval French poetry, ballade was first applied to instrumental music in the 1830s/40s by Ballades No. 1 to 4, which are considered today among the most technically (and poetically) challenging pieces of the standard piano repertoire. Who composed these ballades?",FRÉDÉRIC CHOPIN,CLASS MUSIC,71,67,63,55,38,49,53,4.9,2.1
64-14-2,64,14,2,"A popular card game, whose object is not to hold the one unmatchable card in the deck at the end, is known in various countries as ""Black Peter"" (in native languages). What is this game's best-known English name?",OLD MAID,GAMES/SPORT,84,69,64,55,47,54,58,4.9,0.8
64-14-3,64,14,3,"Though perhaps associated most with rocker Ted Nugent, the pathogen Bartonella henselae is named after scientist Alberto Barton and lab technologist Diane Hensel. It causes a benign infectious disease which is best known colloquially as what?",CAT SCRATCH FEVER (DISEASE),SCIENCE,89,76,76,61,46,54,62,4.9,1.2
64-14-4,64,14,4,"In June, 1974, Wrigley's Juicy Fruit gum was the first product purchased in the United States to feature what innovative  and now widespread technology?",BAR CODES,BUS/ECON,73,58,45,43,32,36,44,4.9,1.4
64-14-5,64,14,5,"The hip hop artists T.I., Ludacris, Big Boi and André 3000 (of Outkast), B.o.B., Soulja Boy, and Young Jeezy are all most closely associated with what city?",ATLANTA,POP MUSIC,88,79,78,69,61,66,70,4.9,1.2
64-14-6,64,14,6,What is the pseudonym—misunderstood during a failed introduction—of the guileless main character in the 1971 Jerzy Kosinski novel Being There?,CHAUNCEY GARDINER,LITERATURE,63,46,44,30,13,22,31,4.9,1.8
64-15-1,64,15,1,"Pulitzer Prizes were first awarded in 1917 by what American university, which administers the awards to this day?",COLUMBIA UNIVERSITY,LITERATURE,92,84,76,67,41,60,64,4.7,1.2
64-15-2,64,15,2,"The municipalities of Villa de Guadalupe in Mexico; Paris, France; Lourdes, France; and Fatima, Portugal most distinctively have what in common?",APPARITIONS OF THE VIRGIN MARY,LIFESTYLE,87,83,73,60,39,53,60,4.7,1.6
64-15-3,64,15,3,"On the cover of the 1969 album palindromically titled Aoxomoxoa, the art displaying the band's name is an ambigram which, reportedly, can also be viewed as ""we ate the acid."" What is the band's name?",GRATEFUL DEAD,POP MUSIC,78,61,52,42,29,40,45,4.7,1.8
64-15-4,64,15,4,What is the chemical formula of the hydrocarbon that is the primary component of natural gas?,CH4,SCIENCE,70,46,38,31,22,31,35,4.7,1.7
64-15-5,64,15,5,Give the name of any of the men who won one (or more) of the Major Championships in men's golf in the year 2014.,"BUBBA WATSON, MARTIN KAYMER, RORY MCILROY",GAMES/SPORT,81,68,64,58,51,55,60,4.7,1.3
64-15-6,64,15,6,"What successful 1988 film was the first of many featuring action roles for an Emmy winner who had theretofore been known primarily as a television comedy actor and, perhaps, wine-cooler pitchman? The film has been described as an interracial buddy movie, though the buddies don't actually meet until after the climax.",DIE HARD,FILM,73,63,60,47,35,44,49,4.7,1.0
64-16-1,64,16,1,"The Québécois dish frite sauce, with the addition of fromage en grains, becomes a dish best known as what?",POUTINE,FOOD/DRINK,96,92,87,79,70,76,80,4.3,0.8
64-16-2,64,16,2,"In the United States, the Bureau of Labor Statistics publishes a measurement of average changes in fees received by originators of all output created domestically, at all stages of processing. The measure is abbreviated PPI, which stands for what?",PRODUCER PRICE INDEX,BUS/ECON,64,52,51,32,19,35,37,4.3,1.7
64-16-3,64,16,3,"Name the Czech-born Austrian composer, considered a transitional artist between the Romantic and Modernist periods, who wrote Symphony No. 8 in E-flat Major (""Symphony of a Thousand""). The symphony, first performed in 1910, is notable for its massive scale, which can include a gigantic orchestra, eight vocal soloists, a boy's choir, and two adult choirs.",GUSTAV MAHLER,CLASS MUSIC,58,47,36,24,12,23,28,4.3,2.2
64-16-4,64,16,4,The first pop album to produce five singles that all reached #1 on the Billboard Hot 100 chart was Michael Jackson's Bad in 1987. The second album to do so (and the first by a female artist) was released in 2010 by what pop superstar?,KATY PERRY,POP MUSIC,62,47,43,35,25,36,38,4.3,1.1
64-16-5,64,16,5,"What is today the common name of the island, ceded to the United States in the 1898 treaty that ended the Spanish-American War, that was originally called Borinquen by its native Taíno people?",PUERTO RICO,AMER HIST,90,79,75,67,58,68,70,4.3,1.1
64-16-6,64,16,6,The main character in Nathanael West's second novel is a male advice columnist for the lovelorn in Depression-era New York who goes by what name?,MISS LONELYHEARTS,LITERATURE,57,40,38,24,11,22,27,4.3,1.9
64-17-1,64,17,1,"Actor Alfonso Ribeiro, Olympic skater Meryl Davis, actress Amber Riley, country musician Kellie Pickler, and Green Bay Packers wide receiver Donald Driver all have what most prominently in common?",DANCING WITH THE STARS CHAMPIONS,TELEVISION,83,69,57,53,45,52,56,3.6,1.1
64-17-2,64,17,2,"What man, a former peasant and adviser to Tsar Nicholas II and Empress Alexandra, is history's most famous (alleged) elder in the schismatic and ecstatic ritual-practicing Russian Orthodox sect known as Khlysty?",GRIGORIY RASPUTIN,WORLD HIST,98,96,95,90,71,84,86,3.6,0.8
64-17-3,64,17,3,"Bertha Franklin, a manager at the Hacienda Motel in south Los Angeles, was found to have committed justifiable homicide in the December 1964 fatal shooting of what 33-year-old pioneering superstar of soul music?",SAM COOKE,POP MUSIC,69,52,48,35,21,31,37,3.6,1.7
