index,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,Champ_correct,tot_correct,defense,forfeit,mcw,mcw_pct,date
45-16-2,45,16,2,Coffee pots in restaurants that contain decaffeinated coffee are typically represented by an orange handle. Orange is used because of its association with what brand?,SANKA,FOOD/DRINK,92,68,56,,,60,,69,1.1,3.6,,,9-Jun-10
45-16-3,45,16,3,"The winner of the 1983 Pulitizer Prize for Drama, this two-character, one act play by Marsha Norman tells the story in real-time of a daughter's final ninety minutes before her suicide, which she announces at the play's beginning and carries out at the play's end.",'NIGHT MOTHER,THEATRE,33,7,2,,,16,,13,2.5,3.6,,,9-Jun-10
45-16-4,45,16,4,Identify the man in this photograph. Click here,NICOLAS SARKOZY,CURR EVENTS,92,87,60,,,81,,81,0.8,3.6,,,9-Jun-10
45-16-5,45,16,5,Oscar Zoroaster Phadrig Isaac Norman Henkle Emmanuel Ambroise Diggs is the full name of the title character from what series of novels?,THE WIZARD OF OZ,LITERATURE,46,23,6,,,33,,26,1.8,3.6,,,9-Jun-10
45-16-6,45,16,6,What is the most populous national capital city in Europe?,MOSCOW,GEOGRAPHY,29,15,7,,,21,,17,1.3,3.6,,,9-Jun-10
45-17-1,45,17,1,Factor the following: a2 + 11a + 24 .,(a+8)(a+3),MATH,61,60,49,,,56,,57,1.2,4.9,,,10-Jun-10
45-17-2,45,17,2,"Following the suicide of founding member and lead singer Ian Curtis, the remaining members of the English rock band Joy Division reformed as what band, whose 1983 hit ""Blue Monday"" is the biggest-selling 12"" single of all time?",NEW ORDER,POP MUSIC,61,51,23,,,49,,47,1.3,4.9,,,10-Jun-10
45-17-3,45,17,3,"A set of standards for physically connecting and transferring data between computers and peripheral devices that is usually pronounced ""skuzzy"" is most often represented by what four letters?",SCSI,SCIENCE,77,61,39,,,54,,58,1.3,4.9,,,10-Jun-10
45-17-4,45,17,4,Identify this film actor. Click here,HAROLD LLOYD,FILM,38,20,10,,,17,,21,1.9,4.9,,,10-Jun-10
45-17-5,45,17,5,"The United States House of Representatives and Senate Acts, passed in 2002, which set or enhanced standards for boards of American corporations and accounting firms in areas such as financial and governance, auditor independence, and internal controls, and was enacted in response to numerous contemporaneous corporate accounting scandals, are collective known by what name, after its Congressional co-sponsors?",SARBANES OXLEY,BUS/ECON,68,51,40,,,54,,52,1.3,4.9,,,10-Jun-10
45-17-6,45,17,6,What is the name that replaces the question marks located slightly southwest of center (and highlighted by the red arrow) in this terrible map? Click here,DACHAU,WORLD HIST,64,40,30,,,40,,43,1.6,4.9,,,10-Jun-10
45-18-1,45,18,1,"Jennifer Lopez was at one time a member of what dance group, which appeared regularly in the television comedy variety show In Living Color ?",THE FLY GIRLS,TELEVISION,81,66,57,,,75,,69,1.2,5.4,,,11-Jun-10
45-18-2,45,18,2,"When Disneyland first opened in Anaheim, California, in 1955, it was divided into five themed areas, or ""lands"": Main Street U.S.A., Adventureland, Fantasyland, Frontierland, and what?",TOMORROWLAND,LIFESTYLE,66,47,33,,,54,,49,1.1,5.4,,,11-Jun-10
45-18-3,45,18,3,"The forum know as the Group of Eight, abbreviated G8, consists of the governments of the United States, Canada, Russia, France, Germany, Japan, the United Kingdom, and what other European country?",ITALY,CURR EVENTS,91,70,57,,,67,,71,0.8,5.4,,,11-Jun-10
45-18-4,45,18,4,The National Museum of Western Art in Tokyo is a typically ugly example of the work of what Swiss-French modernist architect and urban planner? Click here,LE CORBUSIER,ART,55,22,9,,,21,,26,2.3,5.4,,,11-Jun-10
45-18-5,45,18,5,"Come my tan-faced children,Follow well in order, get your weapons ready,Have you your pistols? have you your sharp-edged axes?  These are the first three lines of the first quatrain of a Walt Whitman poem. What is the fourth line of this quatrain, and of the poem's other 25 quatrains, as well as the title of the poem itself?",PIONEERS! O PIONEERS!,LITERATURE,34,19,6,,,14,,18,1.9,5.4,,,11-Jun-10
45-18-6,45,18,6,"On May 18, 1980, what became over 1,300 feet shorter?",MOUNT ST. HELENS,AMER HIST,86,80,60,,,70,,75,1.1,5.4,,,11-Jun-10
45-19-1,45,19,1,The musical duo of Bill Medley and Bobby Hatfield was better known by what name?,THE RIGHTEOUS BROTHERS,POP MUSIC,70,43,20,,,43,,43,1.4,5.9,,,14-Jun-10
45-19-2,45,19,2,Carioca is a name for an inhabitant of what city?,RIO DE JANEIRO,GEOGRAPHY,50,33,14,,,26,,31,1.6,5.9,,,14-Jun-10
45-19-3,45,19,3,"One of the most famous and popular oil paintings in history is this, by whom (name the artist, not the painting)? Click here",PIERRE-AUGUSTE RENOIR,ART,72,45,20,,,43,,45,1.6,5.9,,,14-Jun-10
45-19-4,45,19,4,Over 98% of the air in the earth's atmosphere is made up of what two elements?,"NITROGEN, OXYGEN",SCIENCE,84,65,45,,,59,,63,0.6,5.9,,,14-Jun-10
45-19-5,45,19,5,"""Bewitched, Bothered and Bewildered"", ""I Could Write a Book"", ""With a Song in My Heart"", ""Here in My Arms"", and ""Have You Met Miss Jones?"" are all popular songs from stage musicals written by what songwriting team?",RODGERS AND HART,THEATRE,54,16,10,,,13,,22,1.8,5.9,,,14-Jun-10
45-19-6,45,19,6,"Anhedonia , a term which means an inability to experience pleasure, was the original working title of what 1970s Best Picture-winning film?",ANNIE HALL,FILM,54,23,13,,,34,,29,1.5,5.9,,,14-Jun-10
45-20-1,45,20,1,"Ancient Greek has four distinct words for ""love"": agápe , roughly meaning ""true love""; philía , meaning ""friendship"" or ""virtuous love""; storge , meaning ""affection""; and what other word, meaning ""passionate love""?",EROS,LANGUAGE,73,58,33,,,56,,55,1.3,4.4,,,15-Jun-10
45-20-2,45,20,2,"A.C., Beebop, Red, and Stretch were the names of the members of what 1980s claymation television advertising quartet?",CALIFORNIA RAISINS,TELEVISION,88,61,41,,,56,,61,1.2,4.4,,,15-Jun-10
45-20-3,45,20,3,"Fifteen-year-old Harvey Cheyne Jr., a spoiled and arrogant heir of a railroad tycoon who becomes a serious, industrious and mature young man after being washed overboard from a transatlantic steamship and rescued by fishermen, is the main character of what 1897 classic of children's literature by Rudyard Kipling?",CAPTAINS COURAGEOUS,LITERATURE,41,22,6,,,28,,23,1.5,4.4,,,15-Jun-10
45-20-4,45,20,4,"In the majority of photographs in which he appears in public, American-born Knight of the British Empire Sir Yehudi Menuhin is more than likely holding what?",VIOLIN,CLASS MUSIC,65,32,13,,,31,,34,1.8,4.4,,,15-Jun-10
45-20-5,45,20,5,"This non-SI unit of illuminance or light, used almost exclusively in the United States, is equal to approximately 10.764 lux.",FOOTCANDLE,SCIENCE,23,7,2,,,14,,10,1.3,4.4,,,15-Jun-10
45-20-6,45,20,6,Identify the distinctive voice in this audio clip (8 seconds). Click here,VIN SCULLY,GAMES/SPORT,50,39,20,,,28,,35,1.4,4.4,,,15-Jun-10
45-21-1,45,21,1,This doubly landlocked alpine microstate is the only majority German-speaking nation in the world not to border Germany.,LIECHTENSTEIN,GEOGRAPHY,95,75,44,,,70,,71,1.3,5.4,,,16-Jun-10
45-21-2,45,21,2,"Yo! Bum Rush the Show and It Takes a Nation of Millions to Hold Us Back , two of the most influential albums in the history of rap music, were the first two studio releases from what group, one of the members of which is at the left in this photograph (wearing the sombrero)? Click here",PUBLIC ENEMY,POP MUSIC,67,60,41,,,71,,59,1.2,5.4,,,16-Jun-10
45-21-3,45,21,3,"In the nursery rhyme Mary, Mary, Quite Contrary (also known as Mistress Mary, Quite Contrary), the title is the first line of the rhyme. What is the second line?",HOW DOES YOUR GARDEN GROW?,LITERATURE,86,75,62,,,73,,74,0.9,5.4,,,16-Jun-10
45-21-4,45,21,4,"What is the role played by Charlton Heston in the 1998 film Armageddon , Martin Sheen in the 1991 film JFK , Alec Baldwin in the 2001 film The Royal Tenenbaums , and Robert Redford in 1992's A River Runs Through It ?",NARRATOR,FILM,70,51,36,,,52,,52,1.3,5.4,,,16-Jun-10
45-21-5,45,21,5,Identify the sculptor. Click here,AUGUSTE RODIN,ART,82,59,36,,,46,,56,1.9,5.4,,,16-Jun-10
45-21-6,45,21,6,What is the name of the eponymous headfirst-and-backward technique used by the gold medalist in the high jump at the 1968 Summer Olympics (a technique which remains dominant in the sport today)?,FOSBURY FLOP,GAMES/SPORT,66,49,35,,,32,,46,1.9,5.4,,,16-Jun-10
45-22-1,45,22,1,"The Marvel Comics superhero team The Fantastic Four consisted of The Thing, Invisible Girl, The Human Torch, and whom?",MR. FANTASTIC,LIFESTYLE,70,54,39,,,50,,53,0.9,5.6,,,17-Jun-10
45-22-2,45,22,2,"The synthetic fluoropolymer polytetrafluoroethylene , or PTFE , which has a myriad of practical commercial applications (including in Gore-Tex, and the roof of the Hubert H. Humphrey Metrodome in Minneapolis), is most well-known by what trademark, currently owned by DuPont and first registered by its inventor, Kinetic Chemicals, in 1945?",TEFLON,SCIENCE,70,51,29,,,43,,49,1.4,5.6,,,17-Jun-10
45-22-3,45,22,3,"Emily Elizabeth Howard, currently of Birdwell Island, is the owner of what brobdingnagian erubescent character from the book series by Norman Bridwell?",CLIFFORD THE BIG RED DOG,LITERATURE,55,29,13,,,36,,32,2,5.6,,,17-Jun-10
45-22-4,45,22,4,"""Does she...or doesn't she?"" This famous catchphrase has long been associated with what brand of hair color?",CLAIROL,BUS/ECON,84,49,33,,,59,,54,1.3,5.6,,,17-Jun-10
45-22-5,45,22,5,"In 1898's Treaty of Paris, which ended the Spanish-American War, Spain ceded control over three territories to the United States (in exchange for $20 million). One, the Philippines, became an independent nation in 1946; name either of the other two territories, both of which remain unincorporated territories of the U.S.","GUAM, PUERTO RICO",AMER HIST,88,93,83,,,78,,88,1,5.6,,,17-Jun-10
45-22-6,45,22,6,What is the time signature of the music in this clip (35 seconds)? Click here,4-Jul,CLASS MUSIC,36,19,18,,,21,,23,1.9,5.6,,,17-Jun-10
45-23-1,45,23,1,"SAM is the ticker symbol on the New York Stock exchange for the largest American-owned brewery, which is based in what city?",BOSTON,BUS/ECON,86,86,74,,,85,,84,0.6,6.4,,,18-Jun-10
45-23-2,45,23,2,"Name the anti-employer anthem, written and first recorded by David Allan Coe, which was famously covered by Johnny Paycheck, who took it to #1 on the Country music chart in 1978.",TAKE THIS JOB AND SHOVE IT,POP MUSIC,84,67,46,,,69,,66,1.3,6.4,,,18-Jun-10
45-23-3,45,23,3,"The famous Blue Ridge Parkway runs for a total of 469 miles, from Shenandoah National Park to Great Smoky Mountains National Park, through what states?","VIRGINIA, NORTH CAROLINA",GEOGRAPHY,35,22,14,,,23,,23,1.6,6.4,,,18-Jun-10
45-23-4,45,23,4,"Jean Rhys's 1966 novel Wide Sargasso Sea , which centers around Antoinette (Bertha) Mason, from the time of her youth in the Caribbean to her unhappy marriage and relocation to England, was written as a prequel to what 1847 novel?",JANE EYRE,LITERATURE,57,32,14,,,35,,34,2,6.4,,,18-Jun-10
45-23-5,45,23,5,Correctly spell the commercial name for the common pharmaceutical compound which takes its name from the source from which it is derived: pregnant mares' urine.,PREMARIN,SCIENCE,46,14,6,,,21,,20,2,6.4,,,18-Jun-10
45-23-6,45,23,6,Identify this woman. Click here,HELEN THOMAS,CURR EVENTS,82,67,57,,,69,,68,1,6.4,,,18-Jun-10
45-24-1,45,24,1,"In 1980, this television series, often considered a ""dramedy"" or ""black comedy"", received Writers' Guild of America nominations for episodic television writing in the drama category and in the comedy category -- the first television series to earn such a distinction.",M*A*S*H,TELEVISION,43,32,22,,,44,,34,1.1,4.1,,,21-Jun-10
45-24-2,45,24,2,"Manet's Le déjeuner sur l'herbe , Cézanne's Apples and Oranges , Van Gogh's Starry Night Over the Rhone , and Whistler's Arrangement in Grey and Black: The Artist's Mother are among the very famous works in the permanent collection of what museum, which opened on the left bank of the Seine in Paris in 1986?",MUSÉE D'ORSAY,ART,64,52,29,,,48,,49,1.4,4.1,,,21-Jun-10
45-24-3,45,24,3,"What man holds the record for the number of different U.S. cabinet positions held, at four? They were the Secretaries of Health, Education, and Welfare (1970-73) and Defense (1973) under Nixon, Attorney General (1973) under Nixon, and Secretary of Commerce (1975-77) under Ford.",ELLIOT RICHARDSON,AMER HIST,34,5,2,,,8,,11,1.5,4.1,,,21-Jun-10
45-24-4,45,24,4,"The World According to Me , Politically Incorrect , Much Ado About Everything and Prune Danish are a few of the popular one-man shows performed on Broadway by what comedian (not Bill Maher)?",JACKIE MASON,THEATRE,45,20,11,,,23,,23,1.5,4.1,,,21-Jun-10
45-24-5,45,24,5,What is the medical term for the membrane that surrounds the lungs and lines the inner walls of the chest?,PLEURA,SCIENCE,42,25,15,,,26,,26,1.4,4.1,,,21-Jun-10
45-24-6,45,24,6,"A war which occurred on August 27, 1896, lasting a reported 38 minutes (making it the shortest war in history, according to Guinness), was fought between the United Kingdom and what small African island nation?",ZANZIBAR,WORLD HIST,38,16,2,,,21,,18,1.7,4.1,,,21-Jun-10
45-25-1,45,25,1,What were the nicknames of fictional film fighter co-pilots Pete Mitchell and Nick Bradshaw?,"MAVERICK, GOOSE",FILM,81,66,62,,,66,,68,0.9,6.9,,,22-Jun-10
45-25-2,45,25,2,This is the first 60 seconds of what song by the Rolling Stones? Click here,GIMME SHELTER,POP MUSIC,71,61,40,,,54,,58,0.9,6.9,,,22-Jun-10
45-25-3,45,25,3,"What was the name of the mythological sea goddess who, in Homer's Odyssey , imprisoned Odysseus on her island for seven years in order to make him her immortal husband?",CALYPSO,LITERATURE,42,25,10,,,31,,26,1.6,6.9,,,22-Jun-10
45-25-4,45,25,4,Name the corporation which is the largest private operator of playgrounds in the United States?,MCDONALD'S,BUS/ECON,54,34,29,,,51,,40,1.7,6.9,,,22-Jun-10
45-25-5,45,25,5,"1. A straight line segment can be drawn joining any two points.  2. Any straight line segment can be extended indefinitely in a straight line.  3. Given any straight line segment, a circle can be drawn having the segment as radius and one endpoint as center.  4. All right angles are congruent.  5. If two lines are drawn which intersect a third in such a way that the sum of the inner angles on one side is less than two right angles, then the two lines inevitably must intersect each other on that side if extended far enough.  These are five well-known postulates in geometry first stated by whom?",EUCLID,MATH,77,67,32,,,56,,60,1.1,6.9,,,22-Jun-10
45-25-6,45,25,6,"For the duration of the Empire of Brazil, which lasted from 1822 to 1889, two men served as emperor, with the latter of the two widely regarded as the greatest Brazilian in history. Both men shared the same name -- what was it?",PEDRO,WORLD HIST,32,15,4,,,20,,17,2.2,6.9,,,22-Jun-10
46-1-1,46,1,1,"The 15th United Nations Climate Change Conference took place from December 7 to December 18, 2009, in what European capital, after which the summit is commonly known?",COPENHAGEN,CURR EVENTS,76,53,46,,,50,,55,1.2,5.5,,,16-Aug-10
46-1-2,46,1,2,"Named for the Connecticut borough where it was first produced, what is the best known trademark brand of artificial leather (or ""pleather"")?",NAUGAHYDE,BUS/ECON,58,34,17,,,37,,34,2.2,5.5,,,16-Aug-10
46-1-3,46,1,3,"Legal Sea Foods, a Boston-based restaurant chain, purchased the Lady Grace, a ship used to represent a boat named The F/V Andrea Gail in what 2000 film?",THE PERFECT STORM,FILM,93,85,74,,,87,,84,1.2,5.5,,,16-Aug-10
46-1-4,46,1,4,"Jerry Lewis is the current Abbot of what organization, which has been led by previous Abbots Frank Sinatra, Ed Sullivan, and Alan King.",NEW YORK FRIARS CLUB,LIFESTYLE,82,61,40,,,47,,57,1.9,5.5,,,16-Aug-10
46-1-5,46,1,5,Identify this video game character. Click here,SONIC THE HEDGEHOG,GAMES/SPORT,88,91,83,,,78,,86,0.7,5.5,,,16-Aug-10
46-1-6,46,1,6,"Two important types of photoreceptor cells in the human eye -- one largely responsible for color vision and vision in bright light, the other for night vision -- are referred to most commonly by their shapes. What are they?","CONES, RODS",SCIENCE,86,77,66,,,77,,76,1.4,5.5,,,16-Aug-10
46-2-1,46,2,1,"Upon the death of Robert Byrd in June of 2010, this 86-year-old New Jerseyan became the U.S. Senate's oldest current member.",FRANK LAUTENBERG,AMER HIST,67,40,28,,,30,,40,1.3,6.5,,,17-Aug-10
46-2-2,46,2,2,"Prince Myshkin is the title character in this 1868 Fyodor Dostoyevsky novel, which offers an apocalyptic and cynical vision of how goodness and humility are nearly irrelevant in a society on the verge of moral and spiritual disintegration.",THE IDIOT,LITERATURE,58,48,25,,,35,,41,1.7,6.5,,,17-Aug-10
46-2-3,46,2,3,Identify this musical piece. Click here,TAPS,CLASS MUSIC,62,56,51,,,44,,53,1.9,6.5,,,17-Aug-10
46-2-4,46,2,4,"Thanks in no small degree to the efforts of Theodore Roosevelt, in 1903 Panama declared and won independence from what nation?",COLOMBIA,WORLD HIST,64,33,20,,,33,,35,1.3,6.5,,,17-Aug-10
46-2-5,46,2,5,"What is the name of the English apothecary and clinician whose ""An Essay on the Shaking Palsy,"" written in 1817, was the first detailed description of the disease which would some time later (and forever) be associated with his name?",JAMES PARKINSON,SCIENCE,64,73,61,,,68,,67,0.9,6.5,,,17-Aug-10
46-2-6,46,2,6,The world's most populous island on fresh water is the home to what North American city?,MONTREAL,GEOGRAPHY,47,34,20,,,13,,28,1.4,6.5,,,17-Aug-10
46-3-1,46,3,1,What is the name of the main branch of engineering and applied science that studies the mechanical properties of fluids?,HYDRAULICS,SCIENCE,41,26,20,,,27,,27,1.2,5.1,,,18-Aug-10
46-3-2,46,3,2,"This particular type of hand-built purse, from Hermès, is named after what singer and actress, the former wife of French singer-songwriter Serge Gainsbourg (and mother of singer/actress Charlotte Gainsbourg)? Click here",JANE BIRKIN,LIFESTYLE,42,33,22,,,33,,32,2,5.1,,,18-Aug-10
46-3-3,46,3,3,Pluie is the French word for 'rain'; what is the English translation of the French word parapluie ?,UMBRELLA,LANGUAGE,86,71,58,,,73,,71,1,5.1,,,18-Aug-10
46-3-4,46,3,4,"Two layers of dense, mildly sweet chocolate cake, brushed in the middle with apricot glaze, and on the top and sides with dark chocolate icing -- this makes what famous dessert, the original version of which technically is only made in Vienna and Salzburg?",SACHERTORTE,FOOD/DRINK,50,29,17,,,24,,29,1.5,5.1,,,18-Aug-10
46-3-5,46,3,5,Porteños is the term used for people who live in or are from what South American city?,BUENOS AIRES,GEOGRAPHY,70,52,34,,,46,,49,1.6,5.1,,,18-Aug-10
46-3-6,46,3,6,"Diagnosis: Murder , which ran from 1993-2001, was the longest-running of the many television series starring what actor, who played Dr. Mark Sloan?",DICK VAN DYKE,TELEVISION,67,57,30,,,47,,50,1.2,5.1,,,18-Aug-10
46-4-1,46,4,1,"The ideal gas law, a thermodynamic equation describing a hypothetical ideal gas, is typically stated PV = nRT . In this equation, what is represented by the R ?",IDEAL GAS CONSTANT,SCIENCE,48,26,23,,,21,,28,1.6,4.8,,,19-Aug-10
46-4-2,46,4,2,"Although it doesn't actually have a bell tower, the Spanish mission San Juan Batista features in a number of key scenes from what 1958 movie?",VERTIGO,FILM,58,42,25,,,38,,40,1.3,4.8,,,19-Aug-10
46-4-3,46,4,3,"This prolific Flemish Baroque painter was born in June of 1577, on the eve of the feast day of two apostles.",PETER PAUL RUBENS,ART,61,34,22,,,22,,34,2,4.8,,,19-Aug-10
46-4-4,46,4,4,"The most destructive bombing raid in history (not including the atomic bombings of Hiroshima and Nagasaki, which has significant long-term effects) occurred during World War II against what city, where it is estimated that over 100,000 of the city's residents were killed.",TOKYO,WORLD HIST,26,16,6,,,10,,14,1.1,4.8,,,19-Aug-10
46-4-5,46,4,5,Who is singing in this audio clip? (8 seconds) Click here,JUSTIN BIEBER,POP MUSIC,52,47,52,,,46,,49,1.1,4.8,,,19-Aug-10
46-4-6,46,4,6,"What Swedish journalist and writer died at age 50 of a massive heart attack on November 9, 2004?",STIEG LARSSON,LITERATURE,69,48,29,,,48,,47,1.5,4.8,,,19-Aug-10
46-5-1,46,5,1,"What is the term for the type of betting system in which all bets of a particular type are placed together in a pool, and payoff odds are calculated by sharing the pool of funds among all winning bets (once taxes and the vig are removed)?",PARIMUTUEL OR TOTE,GAMES/SPORT,61,32,13,,,29,,32,1.5,8.1,,,20-Aug-10
46-5-2,46,5,2,"A May 2010 raid codenamed Operation Sea Breeze, during which nine activists were killed, was the boarding and seizure of six ships in a flotilla which intended on breaking the blockade of what region, specifically?",GAZA STRIP,CURR EVENTS,92,79,64,,,73,,76,0.6,8.1,,,20-Aug-10
46-5-3,46,5,3,Name this character from the 1970s television series Sanford and Son (last name not required). Click here,GRADY WILSON,TELEVISION,40,21,14,,,31,,25,1.6,8.1,,,20-Aug-10
46-5-4,46,5,4,What race of mythical dwarves provide the title characters for a classical operatic work?,THE NIBELUNG,CLASS MUSIC,63,22,9,,,19,,26,2,8.1,,,20-Aug-10
46-5-5,46,5,5,What internet meme catchphrase is this man well known for coining? Click here,BOOM GOES THE DYNAMITE,LIFESTYLE,45,28,21,,,36,,31,1.4,8.1,,,20-Aug-10
46-5-6,46,5,6,Who presided over the late 1998/early 1999 impeachment trial of U.S. President Bill Clinton?,WILLIAM REHNQUIST,AMER HIST,56,37,19,,,34,,36,1.1,8.1,,,20-Aug-10
46-6-1,46,6,1,What is the common modern name for the pre-Columbian ruins of the Mayan civilization located in the northern Yucatán Peninsula of Mexico?,CHICHEN ITZA,GEOGRAPHY,67,49,30,,,37,,45,1.4,5.3,,,23-Aug-10
46-6-2,46,6,2,"Ming-Na Wen, Rosalind Chao, Tamlyn Tomita, and Lauren Tom play four daughters and main characters in what 1993 film?",THE JOY LUCK CLUB,FILM,92,78,58,,,80,,76,1.2,5.3,,,23-Aug-10
46-6-3,46,6,3,"In Dante's The Divine Comedy , Hell is divided into circles, while Purgatory is divided into terraces; what are the hierarchical divisions of Heaven (Paradiso)?",SPHERES,LITERATURE,34,20,10,,,14,,19,1.8,5.3,,,23-Aug-10
46-6-4,46,6,4,"The controversy which led to Gen. Stanley McChrystal's resignation as Commander of U.S. Forces in Afghanistan and leader of the International Security Assistance Force, in June of 2010, stemmed from comments attributed to him and his aides in an article entitled ""The Runaway General"", which appeared in what magazine?",ROLLING STONE,CURR EVENTS,93,84,75,,,81,,83,0.4,5.3,,,23-Aug-10
46-6-5,46,6,5,"The most common type of cement in general use around the world, often abbreviated OPC , has in its name the name of what city (though it was not named after the city -- rather, indirectly, after a tiny land-tied island in the English Channel)?",PORTLAND,SCIENCE,44,33,17,,,35,,31,2,5.3,,,23-Aug-10
46-6-6,46,6,6,This is a (slightly edited) map depicting what famous naval battle? Click here,THE BATTLE OF TRAFALGAR,WORLD HIST,75,55,34,,,37,,49,1.7,5.3,,,23-Aug-10
46-7-1,46,7,1,"In probability theory, this statistical theorem, formulated by and named for an English mathematician and Presbyterian minister, states that the probability of an event A given event B is the probability of B given A, times the probability of A, divided by the probability of B.",BAYES THEOREM,MATH,37,16,16,,,25,,21,1.7,4.6,,,24-Aug-10
46-7-2,46,7,2,"In 1957, a U.S. Senate committee chaired by Sen. John F. Kennedy (D-Mass.) named the five greatest senators in U.S. history, whose likenesses would be placed in five vacant portrait spaces in the Capitol's Senate Reception Room. Identify any two of the five.","HENRY CLAY, JOHN C. CALHOUN, DANIEL WEBSTER, ROBERT TAFT, ROBERT LA FOLLETTE, SR.",AMER HIST,60,34,12,,,25,,31,1.7,4.6,,,24-Aug-10
46-7-3,46,7,3,"Ruth Reichl served as restaurant critic for The New York Times from 1993 until leaving in 1999 to assume the Editor-in-Chief role at what magazine, which ceased publication at the end of 2009?",GOURMET,FOOD/DRINK,84,60,53,,,53,,61,1.1,4.6,,,24-Aug-10
46-7-4,46,7,4,"Give the complete two-word fourth line of the Emily Dickinson poem whose first three lines are as follows:  Because I could not stop for Death,He kindly stopped for me;The carriage held but just ourselves________.",AND IMMORTALITY,LITERATURE,43,17,10,,,19,,20,1.8,4.6,,,24-Aug-10
46-7-5,46,7,5,"A political position opposing separation of church from state, and originating in 19th-century Britain as opposition to the proposed removal of the Anglican Church's status as the state church of England, Ireland and Wales, is what famous twenty-eight-letter word?",ANTIDISESTABLISHMENTARIANISM,LANGUAGE,92,72,59,,,64,,71,1.1,4.6,,,24-Aug-10
46-7-6,46,7,6,"""I Just Want to Be Your Everything"", ""(Love Is) Thicker Than Water"", and ""Shadow Dancing"" were all US #1 hits in the late 1970s for what artist, who died in 1988 at age 30?",ANDY GIBB,POP MUSIC,63,43,32,,,45,,44,1.2,4.6,,,24-Aug-10
46-8-1,46,8,1,"Robert Redford, Ryan O'Neal, Burt Reynolds and James Caan were allegedly sought by United Artists to play the title role in this Oscar-winning film, but the theretofore unknown screenwriter refused to sell the script unless the producers agreed to allow him to star in the film, which he ultimately did.",ROCKY,FILM,73,51,38,,,54,,52,1.1,5.3,,,25-Aug-10
46-8-2,46,8,2,"What founding member of the United Nations was a permanent member of the Security Council from its creation in 1945 until 1971, when it was replaced by the People's Republic of China?",REPUBLIC OF CHINA,WORLD HIST,69,45,28,,,44,,45,1.4,5.3,,,25-Aug-10
46-8-3,46,8,3,"What is the nickname of Milwaukee Brewers all-star outfielder Ryan Braun, owing to his semitic heritage and slugging prowess?",HEBREW HAMMER,GAMES/SPORT,45,40,27,,,34,,36,1.6,5.3,,,25-Aug-10
46-8-4,46,8,4,"What is the commonly used term in computer science for the central core component of most operating systems, responsible for allocating resources and providing hardware abstraction?",KERNEL,SCIENCE,35,30,18,,,24,,27,1.2,5.3,,,25-Aug-10
46-8-5,46,8,5,"In 1963, a company called Marketing Evaluations, Inc., first developed a well-known measurement for the general familiarity and appeal of a brand, company, celebrity, or television show. This metric denoted by what term?",Q SCORE,LIFESTYLE,57,34,19,,,30,,34,1.5,5.3,,,25-Aug-10
46-8-6,46,8,6,"What city, in the Rhine-Ruhr metropolitan region, is widely considered to be Germany's fashion and advertising capital, and has perhaps the nation's most fashionable shopping district, Königsallee.",DÜSSELDORF,GEOGRAPHY,44,22,10,,,15,,22,1.8,5.3,,,25-Aug-10
46-9-1,46,9,1,"At its delta, the Volga River, Europe's longest, discharges into what major body of water?",CASPIAN SEA,GEOGRAPHY,65,40,17,,,29,,37,1.3,4.6,,,26-Aug-10
46-9-2,46,9,2,"During the ""Great Migration"" of the first half of the 20th century, 1.75 million African Americans migrated from Southern United States to cities (mostly) in the Midwest, Northeast and West. During that time, the African American population of Chicago increased from 2% of the city's total population to 25%. This was aided in no small degree by what newspaper,  the nation's most influential African American weekly newspaper, which strongly encouraged the migration -- often listing names of churches and other organizations to whom prospective migrants could write for help, along with job listings and train schedules?",CHICAGO DEFENDER,AMER HIST,28,8,4,,,14,,12,2.1,4.6,,,26-Aug-10
46-9-3,46,9,3,"Fill in the blank in the following full title of a 1722 work by Daniel Defoe: The Fortunes and Misfortunes of the Famous _________, Etc. Who Was Born In Newgate, and During a Life of Continu'd Variety For Threescore Years, Besides Her Childhood, Was Twelve Year a Whore, Five Times a Wife [Whereof Once To Her Own Brother], Twelve Year a Thief, Eight Year a Transported Felon In Virginia, At Last Grew Rich, Liv'd Honest, and Died a Penitent. Written from her own Memorandums. .",MOLL FLANDERS,LITERATURE,64,36,15,,,33,,35,1.9,4.6,,,26-Aug-10
46-9-4,46,9,4,Identify the fictional character being depicted by the four actresses in this photo collage. Click here,LOIS LANE,TELEVISION,52,43,37,,,44,,43,1.1,4.6,,,26-Aug-10
46-9-5,46,9,5,"The shoe factory Gebrüder Dassler Schuhfabrik , founded in 1924 by brothers Adolf and Rudolf Dassler, split after WWII, with Adi forming the eponymous Adidas , and Rudolf forming the German company that would soon come to be known by what name, which remains today a major shoe and sportswear brand?",PUMA,BUS/ECON,65,52,39,,,44,,50,1.1,4.6,,,26-Aug-10
46-9-6,46,9,6,"According to the lyrics of a jazz standard written by Billy Strayhorn and first recorded by Duke Ellington in 1941, what is the quickest way to Harlem?",A TRAIN,POP MUSIC,88,68,56,,,58,,66,1.2,4.6,,,26-Aug-10
46-10-1,46,10,1,"That which was referred to by the ancient Greeks as Hesperus , and in modern day as the Evening Star, a bright object in the western sky after sunset, we now know to be what?",VENUS,SCIENCE,86,84,52,,,69,,73,0.9,5.8,,,27-Aug-10
